Nom,Prénom,Projet,Spécialité,Hobby,Nombre d'années d'expérience,Défaut,Qualité,Couleur préférée,Plat préféré,Boisson préférée,Langage préféré

Diallo,Fatoumata,AgriTech+,Dev Web,Danse,10,Impatience,Organisation,Gris,Tajine d'agneau,Smoothie aux fruits,C#
Kim,Hao,EcoTransport,IA,Lecture,8,Perfectionnisme,Créativité,Turquoise,Fondue,Perrier,Rust
Brown,Smith,EduBoost,QA Testing,Bricolage,3,Timidité,Adaptabilité,Vert,Ramen,Thé vert,Go
Wang,Mei,SecureNet,Cloud,Yoga,12,Désorganisé,Leadership,Rose,Sushi,Jus d'orange,Swift
Garcia,Sofia,FinTrack,Business Analyst,Musique,5,Curiosité excessive,Curiosité,Orange,Tacos,Jus de pomme,SQL
Martin,Sophie,HealthConnect,DevOps,Voyage,7,Impulsivité,Esprit d'équipe,Rouge,Pâtes carbonara,Bissap,JavaScript
Silva,Pedro,SmartFarming,Mobile,Écriture,2,Indécision,Pédagogie,Jaune,Choucroute,Eau gazeuse,Kotlin
Thomas,Lucas,DataInsight,Data,Coding,11,Procrastination,Rigueur,Bleu,Pizza,Café,Python
Lee,Jian,GlobalEdu,UI/UX Design,Dessin,6,Susceptible,Humour,Noir,Salade composée,Coca-Cola,HTML/CSS
Rodriguez,Mia,CyberGuard,Cybersécurité,Gaming,9,Colérique,Persévérance,Violet,Kebab,Ginger Beer,C++
Petit,Camille,UrbanFlow,SRE,Randonnée,4,Négligence,Patience,Blanc,Crêpes,Limonade maison,Shell
Ndiaye,Amadou,RoboAssist,Blockchain,Football,14,Têtu,Logique,Marron,Thieboudienne,Sodabi,Java
Johnson,Emily,FutureCity,Product Management,Photographie,1,Naïveté,Optimisme,Argenté,Feijoada,Lait froid,PHP
Bernard,Chloé,ConnectEduc,ERP Consultant,Jardinage,13,Distraction,Fiabilité,Doré,Raclette,Kombucha,Dart
Coulibaly,Moussa,BioInnovate,Réseaux,Pêche,0,Pessimisme,Honnêteté,Gris,Yassa au poulet,Ataya,R
Williams,Sarah,EcoTravel,Data,Lecture,8,Impatience,Organisation,Turquoise,Sushi,Eau,Python
Traoré,Aminata,AIWellness,Mobile,Danse,10,Perfectionnisme,Créativité,Vert,Thieboudienne,Jus d'orange,Kotlin
Chen,Ling,SmartLogistics,DevOps,Bricolage,5,Timidité,Adaptabilité,Rose,Ramen,Thé vert,Go
Jones,David,GameQuest,QA Testing,Yoga,12,Désorganisé,Leadership,Orange,Paella,Perrier,Swift
Smith,John,ArtGallery,UI/UX Design,Musique,7,Curiosité excessive,Curiosité,Jaune,Burger maison,Jus de pomme,HTML/CSS
Leroy,Manon,CodePilot,Dev Web,Voyage,9,Impulsivité,Esprit d'équipe,Rouge,Lasagnes bolognaise,Bissap,JavaScript
Santos,Ana,FutureHome,Business Analyst,Écriture,2,Indécision,Pédagogie,Bleu,Tacos,Eau gazeuse,SQL
Keita,Fanta,QuantumLeap,IA,Coding,11,Procrastination,Rigueur,Noir,Pizza,Café,Python
Diop,Ibrahim,WaterWatch,Cybersécurité,Gaming,6,Susceptible,Humour,Violet,Kebab,Ginger Beer,C++
Durand,Gabriel,MediaFlow,SRE,Randonnée,4,Colérique,Persévérance,Blanc,Crêpes,Limonade maison,Shell
Costa,Maria,HealthConnect,Blockchain,Football,14,Négligence,Patience,Marron,Fondue,Sodabi,Java
Moreau,Louis,DataHarvest,Product Management,Photographie,1,Têtu,Logique,Argenté,Choucroute,Lait froid,PHP
Johnson,Olivia,GlobalEdu,ERP Consultant,Jardinage,13,Naïveté,Optimisme,Doré,Raclette,Kombucha,Dart
Cissé,Sékou,SecureNet,Réseaux,Pêche,0,Pessimisme,Honnêteté,Gris,Jollof Rice,Ataya,R
Williams,Daniel,AgriTech+,Dev Web,Lecture,8,Impatience,Organisation,Turquoise,Sushi,Eau,C#
Lee,Minh,AIWellness,Mobile,Danse,10,Perfectionnisme,Créativité,Vert,Thieboudienne,Jus d'orange,Kotlin
Brown,Jessica,SmartLogistics,DevOps,Bricolage,5,Timidité,Adaptabilité,Rose,Ramen,Thé vert,Go
Garcia,David,GameQuest,QA Testing,Yoga,12,Désorganisé,Leadership,Orange,Paella,Perrier,Swift
Smith,Emily,ArtGallery,UI/UX Design,Musique,7,Curiosité excessive,Curiosité,Jaune,Burger maison,Jus de pomme,HTML/CSS
Martin,Antoine,CodePilot,Dev Web,Voyage,9,Impulsivité,Esprit d'équipe,Rouge,Lasagnes bolognaise,Bissap,JavaScript
Silva,João,FutureHome,Business Analyst,Écriture,2,Indécision,Pédagogie,Bleu,Tacos,Eau gazeuse,SQL
Thomas,Manon,QuantumLeap,IA,Coding,11,Procrastination,Rigueur,Noir,Pizza,Café,Python
Nguyen,Thi,WaterWatch,Cybersécurité,Gaming,6,Susceptible,Humour,Violet,Kebab,Ginger Beer,C++
Petit,Hugo,MediaFlow,SRE,Randonnée,4,Colérique,Persévérance,Blanc,Crêpes,Limonade maison,Shell
Sousa,Ana,HealthConnect,Blockchain,Football,14,Négligence,Patience,Marron,Fondue,Sodabi,Java
Ndiaye,Aïcha,DataHarvest,Product Management,Photographie,1,Têtu,Logique,Argenté,Choucroute,Lait froid,PHP
Johnson,Chris,GlobalEdu,ERP Consultant,Jardinage,13,Naïveté,Optimisme,Doré,Raclette,Kombucha,Dart
Coulibaly,Mariam,SecureNet,Réseaux,Pêche,0,Pessimisme,Honnêteté,Gris,Jollof Rice,Ataya,R
Dubois,Sophie,AgriTech+,Dev Web,Lecture,8,Impatience,Organisation,Turquoise,Sushi,Eau,C#
Kim,Hao,AIWellness,Mobile,Danse,10,Perfectionnisme,Créativité,Vert,Thieboudienne,Jus d'orange,Kotlin
Brown,Sarah,SmartLogistics,DevOps,Bricolage,5,Timidité,Adaptabilité,Rose,Ramen,Thé vert,Go
Wang,Ling,GameQuest,QA Testing,Yoga,12,Désorganisé,Leadership,Orange,Paella,Perrier,Swift
Garcia,Daniel,ArtGallery,UI/UX Design,Musique,7,Curiosité excessive,Curiosité,Jaune,Burger maison,Jus de pomme,HTML/CSS
Martin,Lucas,CodePilot,Dev Web,Voyage,9,Impulsivité,Esprit d'équipe,Rouge,Lasagnes bolognaise,Bissap,JavaScript
Silva,Maria,FutureHome,Business Analyst,Écriture,2,Indécision,Pédagogie,Bleu,Tacos,Eau gazeuse,SQL
Thomas,Emma,QuantumLeap,IA,Coding,11,Procrastination,Rigueur,Noir,Pizza,Café,Python
Lee,Jian,WaterWatch,Cybersécurité,Gaming,6,Susceptible,Humour,Violet,Kebab,Ginger Beer,C++
Rodriguez,Olivia,MediaFlow,SRE,Randonnée,4,Colérique,Persévérance,Blanc,Crêpes,Limonade maison,Shell
Petit,Gabriel,HealthConnect,Blockchain,Football,14,Négligence,Patience,Marron,Fondue,Sodabi,Java
Ndiaye,Ousmane,DataHarvest,Product Management,Photographie,1,Têtu,Logique,Argenté,Choucroute,Lait froid,PHP
Johnson,Mia,GlobalEdu,ERP Consultant,Jardinage,13,Naïveté,Optimisme,Doré,Raclette,Kombucha,Dart
Coulibaly,Ibrahim,SecureNet,Réseaux,Pêche,0,Pessimisme,Honnêteté,Gris,Jollof Rice,Ataya,R
Williams,Antoine,AgriTech+,Dev Web,Lecture,8,Impatience,Organisation,Turquoise,Sushi,Eau,C#
Traoré,Fanta,AIWellness,Mobile,Danse,10,Perfectionnisme,Créativité,Vert,Thieboudienne,Jus d'orange,Kotlin
Chen,Mei,SmartLogistics,DevOps,Bricolage,5,Timidité,Adaptabilité,Rose,Ramen,Thé vert,Go
Jones,Emily,GameQuest,QA Testing,Yoga,12,Désorganisé,Leadership,Orange,Paella,Perrier,Swift
Smith,Michael,ArtGallery,UI/UX Design,Musique,7,Curiosité excessive,Curiosité,Jaune,Burger maison,Jus de pomme,HTML/CSS
Leroy,Chloé,CodePilot,Dev Web,Voyage,9,Impulsivité,Esprit d'équipe,Rouge,Lasagnes bolognaise,Bissap,JavaScript
Santos,Pedro,FutureHome,Business Analyst,Écriture,2,Indécision,Pédagogie,Bleu,Tacos,Eau gazeuse,SQL
Keita,Aminata,QuantumLeap,IA,Coding,11,Procrastination,Rigueur,Noir,Pizza,Café,Python
Diop,Amadou,WaterWatch,Cybersécurité,Gaming,6,Susceptible,Humour,Violet,Kebab,Ginger Beer,C++
Durand,Sophie,MediaFlow,SRE,Randonnée,4,Colérique,Persévérance,Blanc,Crêpes,Limonade maison,Shell
Costa,João,HealthConnect,Blockchain,Football,14,Négligence,Patience,Marron,Fondue,Sodabi,Java
Moreau,Camille,DataHarvest,Product Management,Photographie,1,Têtu,Logique,Argenté,Choucroute,Lait froid,PHP
Johnson,Lucas,GlobalEdu,ERP Consultant,Jardinage,13,Naïveté,Optimisme,Doré,Raclette,Kombucha,Dart
Cissé,Fatoumata,SecureNet,Réseaux,Pêche,0,Pessimisme,Honnêteté,Gris,Jollof Rice,Ataya,R
Dubois,Manon,AgriTech+,Dev Web,Lecture,8,Impatience,Organisation,Turquoise,Sushi,Eau,C#
Kim,Minh,AIWellness,Mobile,Danse,10,Perfectionnisme,Créativité,Vert,Thieboudienne,Jus d'orange,Kotlin
Brown,David,SmartLogistics,DevOps,Bricolage,5,Timidité,Adaptabilité,Rose,Ramen,Thé vert,Go
Wang,Hao,GameQuest,QA Testing,Yoga,12,Désorganisé,Leadership,Orange,Paella,Perrier,Swift
Garcia,Jessica,ArtGallery,UI/UX Design,Musique,7,Curiosité excessive,Curiosité,Jaune,Burger maison,Jus de pomme,HTML/CSS
Martin,Chris,CodePilot,Dev Web,Voyage,9,Impulsivité,Esprit d'équipe,Rouge,Lasagnes bolognaise,Bissap,JavaScript
Silva,Olivia,FutureHome,Business Analyst,Écriture,2,Indécision,Pédagogie,Bleu,Tacos,Eau gazeuse,SQL
Thomas,Daniel,QuantumLeap,IA,Coding,11,Procrastination,Rigueur,Noir,Pizza,Café,Python
Nguyen,Thi,WaterWatch,Cybersécurité,Gaming,6,Susceptible,Humour,Violet,Kebab,Ginger Beer,C++
Petit,Mia,MediaFlow,SRE,Randonnée,4,Colérique,Persévérance,Blanc,Crêpes,Limonade maison,Shell
Sousa,Pedro,HealthConnect,Blockchain,Football,14,Négligence,Patience,Marron,Fondue,Sodabi,Java
Ndiaye,Moussa,DataHarvest,Product Management,Photographie,1,Têtu,Logique,Argenté,Choucroute,Lait froid,PHP
Johnson,Antoine,GlobalEdu,ERP Consultant,Jardinage,13,Naïveté,Optimisme,Doré,Raclette,Kombucha,Dart
Coulibaly,Sékou,SecureNet,Réseaux,Pêche,0,Pessimisme,Honnêteté,Gris,Jollof Rice,Ataya,R
Williams,Sophie,AgriTech+,Dev Web,Lecture,8,Impatience,Organisation,Turquoise,Sushi,Eau,C#
Traoré,Aminata,AIWellness,Mobile,Danse,10,Perfectionnisme,Créativité,Vert,Thieboudienne,Jus d'orange,Kotlin
Chen,Jian,SmartLogistics,DevOps,Bricolage,5,Timidité,Adaptabilité,Rose,Ramen,Thé vert,Go
Jones,Sarah,GameQuest,QA Testing,Yoga,12,Désorganisé,Leadership,Orange,Paella,Perrier,Swift
Smith,David,ArtGallery,UI/UX Design,Musique,7,Curiosité excessive,Curiosité,Jaune,Burger maison,Jus de pomme,HTML/CSS
