Nom,Prénom,Projet,Spécialité,Hobby,Nombre d'années d'expérience,Défaut,Qualité,Couleur préférée,Plat préféré,Boisson préférée,Langage préféré
Smith,Aïcha,FinTrack,Data,Natation,8,Désorganisation,Logique,Jaune,Paella,Jus de pomme,SQL
Garcia,Aminata,CyberGuard,UI/UX Design,Cyclisme,11,Gourmandise,Persévérance,Rose,Burger,Thé,Java
Traoré,Pierre,WebGenius,Backend Dev,Musique,4,Timidité,Proactivité,Vert,Crêpes,Eau gazeuse,PHP
Williams,Emily,HealthConnect,Mobile,Voyage,15,Curiosité excessive,Curiosité,Noir,Thieboudienne,Smoothie,Kotlin
Hernandez,Moussa,AIInnovate,IA,Coding,7,Distrait,Créativité,Bleu,Couscous,Café,Python
Martin,Sophie,EduBoost,Frontend Dev,Lecture,2,Impatience,Pédagogie,Violet,Lasagnes,Lait,JavaScript
Johnson,John,SmartLogistics,DevOps,Football,9,Perfectionnisme,Organisation,Orange,Pizza,Coca-Cola,Go
Sow,Léa,AgriTech+,Blockchain Dev,Danse,6,Susceptibilité,Esprit d'équipe,Blanc,Yassa,Eau,Rust
Miller,David,DataPulse,Data,Gaming,3,Bavardage,Rigueur,Gris,Pâtes Carbonara,Soda,C#
Kim,Fatou,CodeCrafters,Dev Web,Randonnée,0,Procrastination,Adaptabilité,Rouge,Sushi,Jus d'orange,Ruby
Diallo,Laura,SmartLogistics,IA,Musique,10,Impatience,Esprit d'équipe,Vert,Ramen,Lait,Python
Wang,Anna,HealthConnect,Dev Web,Jardinage,15,Timidité,Adaptabilité,Rose,Salade Composée,Thé,JavaScript
Diallo,Alex,BioGenius,Mobile,Gaming,8,Indécis,Créativité,Bleu,Tacos,Boisson énergisante,Kotlin
Dupont,Paul,UrbanFlow,Cybersécurité,Coding,3,Désordonné,Rigueur,Gris,Lasagnes,Eau,C#
Kim,Chloé,EduBoost,Data,Voyage,12,Procrastination,Curiosité,Jaune,Sushi,Jus de mangue,SQL
Martin,Alex,HealthConnect,Cloud,Danse,6,Orgueilleux,Adaptabilité,Orange,Couscous,Jus d'orange,Go
Garcia,Samir,QuantumLabs,DevOps,Lecture,9,Têtu,Organisation,Blanc,Curry,Café,Python
Silva,Anna,FinTrack,UI/UX,Randonnée,4,Rigide,Empathie,Violet,Burger,Smoothies,TypeScript
Jones,Kevin,CyberGuard,Cybersécurité,Bénévolat,7,Sensible,Honnêteté,Noir,Pizza,Coca-Cola,C++
Moreau,Lucas,AIInnovate,IA,Musique,1,Distrait,Pédagogie,Rouge,Pâtes Carbonara,Limonade,Python
Ouédraogo,Zahra,DataSphere,Data,Théâtre,11,Curiosité excessive,Créativité,Bleu,Thieboudienne,Jus d'orange,R
Martinez,Isabelle,AgriTech+,Embarqué,Natation,5,Pessimiste,Persévérance,Vert,Paella,Eau,C
Mohamed,Omar,SafeCity,Mobile,Football,2,Bavard,Optimisme,Marron,Yassa,Soda,Swift
Ndiaye,Fatou,EcoBuild,Dev Web,Voyage,14,Susceptible,Sérénité,Rose,Mafé,Thé,PHP
Smith,David,GameForge,Test Logiciel,Gaming,0,Timide,Logique,Noir,Burger,Boisson énergisante,Java
Thomas,Laura,StreamPro,Cloud,Photographie,13,Impatience,Proactivité,Jaune,Ramen,Café,Go
Koné,Moussa,MediCare,Réseaux,Coding,6,Perfectionnisme,Esprit d'équipe,Gris,Tieboudienne,Jus de mangue,Python
Bernard,Sophie,SmartLogistics,UI/UX,Dessin,8,Désordonné,Adaptabilité,Violet,Sushi,Limonade,JavaScript
Patel,Alex,AstroView,Data,Échecs,3,Têtu,Rigueur,Bleu,Curry,Eau,SQL
Lee,Emily,NeuroSense,IA,Lecture,9,Procrastination,Curiosité,Vert,Pâtes Carbonara,Smoothies,Python
Diallo,Adama,AgriTech+,Développement Mobile,Randonnée,12,Impatience,Créatif,Rouge,Sushi,Jus d'orange,C#
Smith,Olivia,HealthConnect,DevOps,Gaming,3,Timide,Optimiste,Bleu,Pizza,Café,Python
Wang,Liam,CyberGuard,Cybersécurité,Lecture,7,Perfectionnisme,Rigoureux,Noir,Pâtes Carbonara,Eau,Java
Traoré,Aïcha,EduBoost,Intelligence Artificielle,Danse,5,Dispersé,Curieux,Jaune,Thieboudienne,Jus de bissap,JavaScript
Müller,Sophia,FinTrack,Data Science,Cuisine,8,Têtu,Organisé,Vert,Couscous,Thé,Python
Nguyen,Jackson,SmartLogistics,Cloud Computing,Voyage,10,Procrastination,Adaptable,Gris,Tacos,Coca-Cola,Go
Garcia,Emma,GreenEnergy,Développement Web,Photographie,4,Nerveux,Esprit d'équipe,Orange,Salade Composée,Limonade,PHP
Kim,Noah,RetailInnovate,UI/UX Design,Musique,2,Susceptible,Communicatif,Rose,Burgers,Lait,TypeScript
Sy,Fatou,AIHealth,Développement Mobile,Coding,6,Indécis,Fiable,Violet,Poulet Yassa,Smoothie,Kotlin
Gonzales,David,UrbanMobility,Blockchain,Bricolage,9,Trop bavard,Déterminé,Blanc,Paella,Eau pétillante,Rust
Aliou Diallo,AgriTech+,DevOps,Gaming,9,Impatience,Rigueur,Bleu,Thieboudienne,Jus d'Orange,Python
Sophie Dubois,EduBoost,Développement Web,Lecture,4,Timidité,Empathie,Vert,Pâtes Carbonara,Café,JavaScript
Omar Mensah,FinTrack,Data Science,Football,7,Procrastination,Curiosité,Rouge,Poulet Yassa,Eau,R
Fatoumata Dia,SafeCity,Cybersécurité,Danse,6,Impulsivité,Adaptabilité,Jaune,Couscous,Thé,Python
David Smith,HealthConnect,Cloud Computing,Coding,12,Perfectionnisme,Leadership,Noir,Pizza,Coca-Cola,Java
Emily Chen,EcoMonitor,Développement Mobile,Voyage,3,Distraction,Optimisme,Blanc,Sushi,Smoothies,Kotlin
Pierre Martin,SmartGrid,Intelligence Artificielle,Randonnée,10,Têtu,Persévérance,Violet,Burger,Bière,Python
