Nom,Prénom,Projet,Spécialité,Hobby,Nombre d'années d'expérience,Défaut,Qualité,Couleur préférée,Plat préféré,Boisson préférée,Langage préféré
Dupont,Jean,AgriTech+,Dev Web,Lecture,5,Procrastination,Organisé,Bleu,Pizza,Café,Python
Diallo,Fatou,SafeCity,IA,Danse,8,Impatience,Empathe,Vert,Couscous,Thé vert,JavaScript
Smith,David,EduBoost,Cybersécurité,Gaming,3,Têtu,Rigoureux,Rouge,Hamburger maison,Coca-Cola,C#
Lee,Amina,FinTrack,Data,Coding,10,Distrait,Optimiste,Jaune,Sushi,Eau,Java
Benali,Alex,HealthConnect,Mobile,Voyages,2,Bavard,Persévérant,Noir,Tajine,Jus d'orange,Kotlin
Müller,Sophie,GreenEnergy,Cloud,Musique,12,Timide,Loyal,Blanc,Pâtes carbonara,Bière blonde,Go
Garcia,Ali,SmartLogistics,DevOps,Cuisine,7,Perfectionnisme,Curieux,Violet,Paella,Vin rouge,Rust
Petrov,Lena,CyberGuard,UI/UX Design,Randonnée,4,Rancunier,Fiable,Orange,Ramen,Milkshake vanille,TypeScript
Kim,Marc,DataDrive,Machine Learning,Photographie,9,Impulsif,Communicatif,Rose,Soupe Pho,Smoothie fruits rouges,Python
Traoré,Anna,AIFrontier,Big Data,Dessin,6,Maladroit,Patient,Gris,Poulet Yassa,Tisane verveine,Scala
Dubois,Omar,BioInsight,Embarqué,Natation,1,Trop sensible,Logique,Cyan,Thieboudienne,Soda,C++
Johnson,Chloé,EcoSmart,Robotique,Jardinage,11,Naïf,Adaptable,Magenta,Lasagnes,Cidre,Java
Wang,Pierre,UrbanFlow,Fullstack Dev,Échecs,14,Indécis,Honnête,Marron,Steak-frites,Lait,PHP
Sow,Sarah,SecureNet,Frontend Dev,Cinéma,0,Colérique,Déterminé,Or,Kebab,Chocolat chaud,JavaScript
Costa,Moussa,EduGamify,Backend Dev,Écriture,5,Gourmand,Enthousiaste,Argent,Fondue,Eau de coco,Ruby
Schmidt,Aïcha,MarketPulse,Analyste SEO,Course à pied,8,Procrastination,Autonome,Bleu,Raclette,Jus de mangue,Python
Novak,Guillaume,ConnectMe,Product Owner,Yoga,3,Impatience,Ingénieux,Vert,Choucroute,Café,Go
Rossi,Laura,FutureFarm,Scrum Master,Méditation,10,Têtu,Organisé,Rouge,Cassoulet,Thé vert,C#
Chen,Karim,SafeHome,DBA,Bénévolat,2,Distrait,Empathe,Jaune,Blanquette,Coca-Cola,SQL
Akintola,Léa,AutoPilot,Data,Sports de combat,7,Bavard,Rigoureux,Noir,Pizza,Eau,Python
Ndiaye,Sofia,VisionAI,Dev Web,Bricolage,4,Timide,Optimiste,Blanc,Couscous,Jus d'orange,JavaScript
Koulibaly,Jules,OceanWatch,IA,Pêche,9,Perfectionnisme,Persévérant,Violet,Hamburger maison,Bière blonde,Java
Martin,Clara,AeroSense,Cybersécurité,Lecture,6,Rancunier,Loyal,Orange,Sushi,Vin rouge,C#
Leblanc,Noah,QuantumLink,Mobile,Danse,1,Impulsif,Curieux,Rose,Tajine,Milkshake vanille,Kotlin
